task_id,family_id,system,novelty_fraction,realized_novelty,length,tokens,tokens_f10,per_hit,browser_calls,latency_ms,success,false_accept,unknown,confidence,probeHit,ttlValid,etagMatched,auditorBlocked,frontierHit,frontierCrossFamilyAdoption,cacheHit,auditorFetchMiss,retrieval_hit,toolHit,qcr_jaccard,frontier_jaccard,provenanceHash,verify_passed,hit
task_0003,family_00,B-RAG-EMBED,0.75,1.0,8,4250,4250,506.25,18,8270,1,0,0,0.9688,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0.0,,1,0
task_0003,family_00,B-STAGEHAND-CACHE,0.75,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.9688,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0.0,,1,0
task_0003,family_00,B-TERX-REPLAY,0.75,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.9688,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0.0,,1,0
task_0003,family_00,P-SPIDER-MEA-BATCHED,0.75,1.0,8,780,780,58.75,12,1195,1,0,0,0.99,1,1,1,0,1,0,1,0,1,0,0.3333333333333333,0.3333333333333333,569ec198b075e933,1,1
task_0003,family_00,P-WEBMCP-TOOL,0.75,1.0,8,525,525,52.5,11,1015,1,0,1,0.0457,1,1,1,1,0,0,1,0,1,1,0.0,0.0,569ec198b075e933,0,0
task_0003,family_00,NC1-SHUFFLED,0.75,1.0,8,1280,1280,121.25,14,2195,0,1,0,0.8917050876017393,1,1,1,0,1,0,1,0,0,0,0.16666666666666666,0.3333333333333333,5d794e44ae6a0963,0,1
task_0003,family_00,NC2-RANDOM,0.75,1.0,8,1760,1760,181.25,13,3070,1,0,1,0.8689775783315723,0,0,0,1,0,0,0,1,0,0,0.0,0.0,5627bc853cf71f94,0,0
task_0003,family_00,NC3-LENGTH,0.75,1.0,8,4050,4050,500.0,17,8120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0003,family_00,NC4-ABLATION,0.75,1.0,8,1670,1670,170.0,13,3005,1,0,0,0.99,0,0,0,0,0,0,1,0,1,0,0.3333333333333333,0.3333333333333333,569ec198b075e933,1,1
task_0004,family_00,B-COLD,1.0,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.9667,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,,1,0
task_0004,family_00,B-RAG-EMBED,1.0,1.0,8,4250,4250,506.25,18,8270,1,0,0,0.9667,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0004,family_00,B-STAGEHAND-CACHE,1.0,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.9667,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0004,family_00,B-TERX-REPLAY,1.0,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.9667,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0004,family_00,P-SPIDER-MEA-BATCHED,1.0,1.0,8,780,780,58.75,12,1195,1,0,0,0.99,1,1,1,0,1,0,1,0,1,0,0.6666666666666666,1.0,83c051e0a1b6a041,1,1
task_0004,family_00,P-WEBMCP-TOOL,1.0,1.0,8,525,525,52.5,11,1015,1,0,0,0.99,1,1,1,0,0,0,1,0,1,1,0.0,0.0,83c051e0a1b6a041,1,1
task_0004,family_00,NC1-SHUFFLED,1.0,1.0,8,820,820,63.75,12,1285,1,0,1,0.8390737736632979,0,0,0,0,1,0,1,0,1,0,0.5,1.0,17591101d9f69ff9,0,0
task_0004,family_00,NC2-RANDOM,1.0,1.0,8,1720,1720,176.25,13,2980,1,0,1,0.9582768431791422,1,1,1,0,0,0,0,1,0,0,0.0,0.0,7b52962739cf3a34,0,0
task_0004,family_00,NC3-LENGTH,1.0,1.0,8,4050,4050,500.0,17,8120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0004,family_00,NC4-ABLATION,1.0,1.0,8,780,780,58.75,12,1195,1,0,0,0.99,1,1,1,0,1,0,1,0,1,0,0.6666666666666666,1.0,83c051e0a1b6a041,1,1
task_0005,family_00,B-COLD,0.25,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9525,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,,1,0
task_0005,family_00,B-RAG-EMBED,0.25,0.5,8,2450,2450,281.25,14,4750,1,0,0,0.9525,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,1
task_0005,family_00,B-STAGEHAND-CACHE,0.25,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9525,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0005,family_00,B-TERX-REPLAY,0.25,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9525,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0005,family_00,P-SPIDER-MEA-BATCHED,0.25,0.5,8,780,780,58.75,12,1195,1,0,0,0.9672,1,1,1,0,1,0,1,0,1,0,0.6666666666666666,1.0,84daac5f9dada62b,1,1
task_0005,family_00,P-WEBMCP-TOOL,0.25,0.5,8,615,615,63.75,11,1080,1,0,0,0.99,1,1,1,0,0,0,0,1,1,1,0.0,0.0,84daac5f9dada62b,1,1
task_0005,family_00,NC1-SHUFFLED,0.25,0.5,8,1630,1630,165.0,13,2915,1,0,1,0.7878146732657318,1,1,1,0,0,0,1,0,0,0,0.0,0.0,c85ff3ef5dd9766b,0,0
task_0005,family_00,NC2-RANDOM,0.25,0.5,8,1720,1720,176.25,13,2980,1,0,1,0.8457911692599132,1,1,1,1,0,0,0,1,0,0,0.0,0.0,00c0e9ae1e612552,0,0
task_0005,family_00,NC3-LENGTH,0.25,0.5,8,4050,4050,500.0,17,8120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0005,family_00,NC4-ABLATION,0.25,0.5,8,780,780,58.75,12,1195,1,0,1,0.01,1,1,1,1,1,0,1,0,1,0,0.6666666666666666,1.0,84daac5f9dada62b,0,0
