task_id,family_id,system,novelty_fraction,realized_novelty,length,tokens,tokens_f10,per_hit,browser_calls,latency_ms,success,false_accept,unknown,confidence,probeHit,ttlValid,etagMatched,auditorBlocked,frontierHit,frontierCrossFamilyAdoption,cacheHit,auditorFetchMiss,retrieval_hit,toolHit,qcr_jaccard,frontier_jaccard,provenanceHash,verify_passed,hit
task_0000,family_00,B-COLD,0.0,0.0,8,4050,4050,506.25,17,8120,1,0,0,0.9738,0,0,0,0,0,0,0,0,0,0,1.0,0.0,,1,0
task_0000,family_00,B-RAG-EMBED,0.0,0.0,8,650,650,56.25,10,1230,1,0,0,0.9738,0,0,0,0,0,0,0,0,1,0,1.0,0.0,,1,1
task_0000,family_00,B-STAGEHAND-CACHE,0.0,0.0,8,450,450,56.25,9,1080,1,0,0,0.9738,0,0,0,0,0,0,0,0,1,0,1.0,0.0,,1,1
task_0000,family_00,B-TERX-REPLAY,0.0,0.0,8,450,450,56.25,9,1080,1,0,0,0.9738,0,0,0,0,0,0,0,0,1,0,1.0,0.0,,1,1
task_0000,family_00,P-STAGEHAND-TTL,0.0,0.0,8,460,460,57.5,10,1030,1,0,0,0.967,1,1,1,0,1,0,1,0,0,0,0.0,1.0,6c9e6dcf2ec696e6,1,1
task_0000,family_00,P-WEBMCP-TOOL,0.0,0.0,8,655,655,68.75,11,1170,1,0,0,0.99,0,0,0,0,0,0,0,1,1,1,0.0,0.0,72f4889666a0e90c,1,1
task_0000,family_00,P-SPIDER-MEA-BATCHED,0.0,0.0,8,820,820,63.75,12,1285,1,0,0,0.9549,0,0,0,0,1,0,1,0,1,0,1.0,1.0,72f4889666a0e90c,1,1
task_0000,family_00,NC1-SHUFFLED,0.0,0.0,8,820,820,63.75,12,1285,1,0,0,0.99,0,1,0,0,1,0,1,0,0,0,0.16666666666666666,0.3333333333333333,f28ad1058abe60d7,1,1
task_0000,family_00,NC2-RANDOM,0.0,0.0,8,860,860,68.75,11,1310,1,0,1,0.7818821730473873,0,0,0,0,0,0,0,1,0,0,0.0,0.0,cbc1500a5bb718e3,0,0
task_0000,family_00,NC3-LENGTH,0.0,0.0,8,4050,4050,500.0,17,8120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0000,family_00,NC4-ABLATION,0.0,0.0,8,910,910,75.0,12,1350,1,0,0,0.953,0,1,0,0,1,0,0,1,1,0,1.0,1.0,72f4889666a0e90c,1,1
task_0001,family_00,B-COLD,0.25,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9515,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,,1,0
task_0001,family_00,B-RAG-EMBED,0.25,0.5,8,2450,2450,281.25,14,4750,1,0,0,0.9515,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,1
task_0001,family_00,B-STAGEHAND-CACHE,0.25,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9515,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0001,family_00,B-TERX-REPLAY,0.25,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9515,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0001,family_00,P-STAGEHAND-TTL,0.25,0.5,8,460,460,57.5,10,1030,1,0,1,0.8627454794848658,1,1,1,0,1,0,0,0,0,0,0.0,1.0,e97b451cdce02523,0,0
task_0001,family_00,P-WEBMCP-TOOL,0.25,0.5,8,565,565,57.5,11,1105,1,0,0,0.9601,0,1,0,0,0,0,1,0,1,1,0.0,0.0,c6cb024828a9609b,1,1
task_0001,family_00,P-SPIDER-MEA-BATCHED,0.25,0.5,8,820,820,63.75,12,1285,1,0,0,0.9742,0,0,0,0,1,0,1,0,1,0,0.6666666666666666,1.0,c6cb024828a9609b,1,1
task_0001,family_00,NC1-SHUFFLED,0.25,0.5,8,2130,2130,227.5,15,3915,0,1,0,0.8834842259342703,1,1,1,0,0,0,1,0,0,0,0.0,0.0,91fa805edbb045e1,0,1
task_0001,family_00,NC2-RANDOM,0.25,0.5,8,1720,1720,176.25,13,2980,1,0,1,0.8763853606931414,1,1,1,0,0,0,0,1,0,0,0.0,0.0,8ea26ecfded2c4c9,0,0
task_0001,family_00,NC3-LENGTH,0.25,0.5,8,4050,4050,500.0,17,8120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0001,family_00,NC4-ABLATION,0.25,0.5,8,780,780,58.75,12,1195,1,0,0,0.9768,1,1,1,0,1,0,1,0,1,0,0.6666666666666666,1.0,c6cb024828a9609b,1,1
task_0002,family_00,B-COLD,0.5,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,,1,0
task_0002,family_00,B-RAG-EMBED,0.5,0.5,8,2450,2450,281.25,14,4750,1,0,0,0.99,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,1
task_0002,family_00,B-STAGEHAND-CACHE,0.5,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.99,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0002,family_00,B-TERX-REPLAY,0.5,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.99,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0002,family_00,P-STAGEHAND-TTL,0.5,0.5,8,460,460,57.5,10,1030,1,0,0,0.99,1,1,1,0,1,0,0,0,0,0,0.0,1.0,523601d916072230,1,1
task_0002,family_00,P-WEBMCP-TOOL,0.5,0.5,8,565,565,57.5,11,1105,1,0,1,0.0356,0,0,0,1,0,0,1,0,1,1,0.0,0.0,fbb7e4c43d507d69,0,0
task_0002,family_00,P-SPIDER-MEA-BATCHED,0.5,0.5,8,820,820,63.75,12,1285,1,0,1,0.0449,0,0,0,1,1,0,1,0,1,0,0.6666666666666666,1.0,fbb7e4c43d507d69,0,0
task_0002,family_00,NC1-SHUFFLED,0.5,0.5,8,780,780,58.75,12,1195,1,0,1,0.8534007388886251,1,1,1,0,1,0,1,0,1,0,0.5,1.0,2b9a9e9d8581d5a9,0,0
task_0002,family_00,NC2-RANDOM,0.5,0.5,8,1760,1760,181.25,13,3070,1,0,0,0.9657,0,0,0,0,0,0,0,1,0,0,0.0,0.0,cee5ae62ef9be2ca,1,1
task_0002,family_00,NC3-LENGTH,0.5,0.5,8,4050,4050,500.0,17,8120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0002,family_00,NC4-ABLATION,0.5,0.5,8,780,780,58.75,12,1195,1,0,0,0.9897,1,1,1,0,1,0,1,0,1,0,0.6666666666666666,1.0,fbb7e4c43d507d69,1,1
task_0003,family_00,B-COLD,0.75,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.9537,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,,1,0
task_0003,family_00,B-RAG-EMBED,0.75,1.0,8,4250,4250,506.25,18,8270,1,0,0,0.9537,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0.0,,1,0
task_0003,family_00,B-STAGEHAND-CACHE,0.75,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.9537,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0.0,,1,0
task_0003,family_00,B-TERX-REPLAY,0.75,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.9537,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0.0,,1,0
task_0003,family_00,P-STAGEHAND-TTL,0.75,1.0,8,460,460,57.5,10,1030,1,0,1,0.8784007594954685,1,1,1,0,1,0,0,0,0,0,0.0,0.3333333333333333,9306a11ce52fb74f,0,0
task_0003,family_00,P-WEBMCP-TOOL,0.75,1.0,8,565,565,57.5,11,1105,1,0,1,0.0166,0,0,0,1,0,0,1,0,1,1,0.0,0.0,569ec198b075e933,0,0
task_0003,family_00,P-SPIDER-MEA-BATCHED,0.75,1.0,8,780,780,58.75,12,1195,1,0,0,0.9766,1,1,1,0,1,0,1,0,1,0,0.3333333333333333,0.3333333333333333,569ec198b075e933,1,1
task_0003,family_00,NC1-SHUFFLED,0.75,1.0,8,910,910,75.0,12,1350,1,0,0,0.99,0,0,0,0,1,0,0,1,0,0,0.16666666666666666,0.3333333333333333,5d794e44ae6a0963,1,1
task_0003,family_00,NC2-RANDOM,0.75,1.0,8,1760,1760,181.25,13,3070,1,0,0,0.99,0,0,0,0,0,0,0,1,0,0,0.0,0.0,17ad8a6f56871499,1,1
task_0003,family_00,NC3-LENGTH,0.75,1.0,8,4050,4050,500.0,17,8120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0003,family_00,NC4-ABLATION,0.75,1.0,8,1670,1670,170.0,13,3005,1,0,0,0.99,0,0,0,0,0,0,1,0,1,0,0.3333333333333333,0.3333333333333333,569ec198b075e933,1,1
task_0004,family_00,B-COLD,1.0,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,,1,0
task_0004,family_00,B-RAG-EMBED,1.0,1.0,8,4250,4250,506.25,18,8270,1,0,0,0.99,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0004,family_00,B-STAGEHAND-CACHE,1.0,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.99,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0004,family_00,B-TERX-REPLAY,1.0,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.99,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0004,family_00,P-STAGEHAND-TTL,1.0,1.0,8,500,500,62.5,10,1120,1,0,1,0.8502019712873393,0,0,0,0,1,0,0,0,0,0,0.0,1.0,a46a77fe8d076e83,0,0
task_0004,family_00,P-WEBMCP-TOOL,1.0,1.0,8,565,565,57.5,11,1105,1,0,1,0.01,0,1,0,1,0,0,1,0,1,1,0.0,0.0,83c051e0a1b6a041,0,0
task_0004,family_00,P-SPIDER-MEA-BATCHED,1.0,1.0,8,780,780,58.75,12,1195,1,0,1,0.0481,1,1,1,1,1,0,1,0,1,0,0.6666666666666666,1.0,83c051e0a1b6a041,0,0
task_0004,family_00,NC1-SHUFFLED,1.0,1.0,8,820,820,63.75,12,1285,1,0,0,0.9743,0,0,0,0,1,0,1,0,1,0,0.5,1.0,17591101d9f69ff9,1,1
task_0004,family_00,NC2-RANDOM,1.0,1.0,8,1760,1760,181.25,13,3070,1,0,0,0.9797,0,1,0,0,0,0,0,1,0,0,0.0,0.0,7d386e56c1e565a3,1,1
task_0004,family_00,NC3-LENGTH,1.0,1.0,8,4050,4050,500.0,17,8120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0004,family_00,NC4-ABLATION,1.0,1.0,8,780,780,58.75,12,1195,1,0,0,0.9892,1,1,1,0,1,0,1,0,1,0,0.6666666666666666,1.0,83c051e0a1b6a041,1,1
task_0005,family_00,B-COLD,0.25,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9856,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,,1,0
task_0005,family_00,B-RAG-EMBED,0.25,0.5,8,2450,2450,281.25,14,4750,1,0,0,0.9856,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,1
task_0005,family_00,B-STAGEHAND-CACHE,0.25,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9856,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0005,family_00,B-TERX-REPLAY,0.25,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9856,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0005,family_00,P-STAGEHAND-TTL,0.25,0.5,8,500,500,62.5,10,1120,1,0,0,0.99,0,1,0,0,1,0,0,0,0,0,0.0,1.0,8128f3f2a0c162b8,1,1
task_0005,family_00,P-WEBMCP-TOOL,0.25,0.5,8,565,565,57.5,11,1105,1,0,0,0.99,0,0,0,0,0,0,1,0,1,1,0.0,0.0,84daac5f9dada62b,1,1
task_0005,family_00,P-SPIDER-MEA-BATCHED,0.25,0.5,8,780,780,58.75,12,1195,1,0,1,0.01,1,1,1,1,1,0,1,0,1,0,0.6666666666666666,1.0,84daac5f9dada62b,0,0
task_0005,family_00,NC1-SHUFFLED,0.25,0.5,8,1670,1670,170.0,13,3005,1,0,1,0.9015179355796454,0,0,0,0,0,0,1,0,0,0,0.0,0.0,c85ff3ef5dd9766b,0,0
task_0005,family_00,NC2-RANDOM,0.25,0.5,8,1720,1720,176.25,13,2980,1,0,1,0.7843296054862435,1,1,1,1,0,0,0,1,0,0,0.0,0.0,b606df368e032d4c,0,0
task_0005,family_00,NC3-LENGTH,0.25,0.5,8,4050,4050,500.0,17,8120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0005,family_00,NC4-ABLATION,0.25,0.5,8,820,820,63.75,12,1285,1,0,0,0.99,0,0,0,0,1,0,1,0,1,0,0.6666666666666666,1.0,84daac5f9dada62b,1,1
task_0006,family_01,B-COLD,0.0,0.0,9,4550,4550,505.55555555555554,19,9120,1,0,0,0.99,0,0,0,0,0,0,0,0,0,0,1.0,0.0,,1,0
