task_id,family_id,template_id,novelty_fraction,realized_novelty,length,system,success,false_accept,unknown,precision,tokens,tokens_f10,per_hit,browser_calls,latency_ms,retrieval_ms,verification_ms,reused_steps,hit,verify_passed,repair_triggered,confidence,ECE_bin,wrong_bound,probeHit,etagMatched,ttlValid,auditorBlocked,curatedFlag,frontierHit,frontierCrossFamilyAdoption,cacheHit,auditorFetchMiss,retrieval_hit,retrieval_use_hit,frontier_use_hit,provenanceHash,qcr_jaccard,frontier_jaccard
task_0000,family_00,template_00,0.0,0.0,8,B-COLD,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.9807,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,0.0
task_0000,family_00,template_00,0.0,0.0,8,B-RAG-EMBED,1,0,0,1,650,650,56.25,10,1230,150,120,8,1,1,0,0.9807,4,0,0,0,0,0,0,0,0,0,0,1,1,0,,1.0,0.0
task_0000,family_00,template_00,0.0,0.0,8,B-STAGEHAND-CACHE,1,0,0,1,450,450,56.25,9,1080,0,120,8,1,1,0,0.9807,4,0,0,0,0,0,0,0,0,0,0,1,1,0,,1.0,0.0
task_0000,family_00,template_00,0.0,0.0,8,B-TERX-REPLAY,1,0,0,1,450,450,56.25,9,1080,0,120,8,1,1,0,0.9807,4,0,0,0,0,0,0,0,0,0,0,1,1,0,,1.0,0.0
task_0000,family_00,template_00,0.0,0.0,8,P-SPIDER-MEA-BATCHED,1,0,0,1,780,780,58.75,12,1195,150,30,8,1,1,0,0.99,4,0,1,1,1,0,1,1,0,1,0,1,1,1,aab048f56f483553,1.0,1.0
task_0000,family_00,template_00,0.0,0.0,8,NC1-SHUFFLED,1,0,1,1,1005,1005,86.97834207214161,11,1245,150,120,6,0,0,0,0.4283443341104052,2,0,0,0,0,1,1,0,0,0,1,0,0,0,aab048f56f483553,0.125,0.0
task_0000,family_00,template_00,0.0,0.0,8,NC2-RANDOM,1,0,0,1,1166,1166,107.10162356737644,11,1245,150,120,6,0,0,0,0.4515268155201102,2,0,0,1,1,1,1,1,0,1,0,0,0,0,aab048f56f483553,0.125,0.0
task_0000,family_00,template_00,0.0,0.0,8,NC3-LENGTH,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,0.0
task_0000,family_00,template_00,0.0,0.0,8,NC4-ABLATION,1,0,0,1,870,870,70.0,12,1260,150,30,8,1,1,0,0.99,4,0,1,1,1,0,1,0,0,0,1,1,1,1,aab048f56f483553,1.0,1.0
task_0001,family_00,template_00,0.25,0.5,8,B-COLD,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6666666666666666,0.0
task_0001,family_00,template_00,0.25,0.5,8,B-RAG-EMBED,1,0,0,1,2450,2450,281.25,14,4750,150,120,4,1,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,1,1,0,,0.6666666666666666,0.0
task_0001,family_00,template_00,0.25,0.5,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,1,0,0,,0.6666666666666666,0.0
task_0001,family_00,template_00,0.25,0.5,8,B-TERX-REPLAY,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,1,0,0,,0.6666666666666666,0.0
task_0001,family_00,template_00,0.25,0.5,8,P-SPIDER-MEA-BATCHED,1,0,0,1,870,870,70.0,12,1260,150,30,8,1,1,0,0.99,4,0,1,1,1,0,1,1,0,0,1,1,1,1,175e8edd5a27f563,0.6666666666666666,1.0
task_0001,family_00,template_00,0.25,0.5,8,NC1-SHUFFLED,1,0,1,1,1122,1122,101.55121499776021,13,3005,150,120,6,0,0,0,0.43580792400373136,2,0,0,0,1,1,1,0,0,0,1,0,0,0,175e8edd5a27f563,0.125,0.0
task_0001,family_00,template_00,0.25,0.5,8,NC2-RANDOM,1,0,0,1,1176,1176,108.2673638029587,14,3795,150,30,5,0,0,0,0.6544990004750635,3,0,1,1,1,1,1,1,0,1,0,0,0,0,175e8edd5a27f563,0.08333333333333333,0.0
task_0001,family_00,template_00,0.25,0.5,8,NC3-LENGTH,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6666666666666666,0.0
task_0001,family_00,template_00,0.25,0.5,8,NC4-ABLATION,0,1,0,1,780,780,58.75,12,1195,150,30,8,1,1,0,0.957,4,0,1,1,1,0,1,0,0,1,0,1,1,1,175e8edd5a27f563,0.6666666666666666,1.0
task_0002,family_00,template_00,0.5,0.5,8,B-COLD,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.9649,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6666666666666666,0.0
task_0002,family_00,template_00,0.5,0.5,8,B-RAG-EMBED,1,0,0,1,2450,2450,281.25,14,4750,150,120,4,1,1,0,0.9649,4,0,0,0,0,0,0,0,0,0,0,1,1,0,,0.6666666666666666,0.0
task_0002,family_00,template_00,0.5,0.5,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.9649,4,0,0,0,0,0,0,0,0,0,0,1,0,0,,0.6666666666666666,0.0
task_0002,family_00,template_00,0.5,0.5,8,B-TERX-REPLAY,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.9649,4,0,0,0,0,0,0,0,0,0,0,1,0,0,,0.6666666666666666,0.0
task_0002,family_00,template_00,0.5,0.5,8,P-SPIDER-MEA-BATCHED,1,0,0,1,780,780,58.75,12,1195,150,30,8,1,1,0,0.9503,4,0,1,1,1,0,1,1,0,1,0,1,1,1,8b32b5fb0315dfee,0.6666666666666666,1.0
task_0002,family_00,template_00,0.5,0.5,8,NC1-SHUFFLED,1,0,1,1,961,961,81.45356343625623,13,3005,150,120,6,0,0,0,0.3608597455667105,1,0,0,0,0,1,1,0,0,0,1,0,0,0,8b32b5fb0315dfee,0.0,0.0
task_0002,family_00,template_00,0.5,0.5,8,NC2-RANDOM,1,0,0,1,1090,1090,97.58297666763642,12,2035,150,30,7,0,0,0,0.570827813847393,2,0,1,1,0,1,1,1,0,1,0,0,0,0,8b32b5fb0315dfee,0.0,0.0
task_0002,family_00,template_00,0.5,0.5,8,NC3-LENGTH,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.6666666666666666,0.0
