task_id,family_id,template_id,novelty_fraction,length,system,success,false_accept,unknown,precision,tokens,browser_calls,latency_ms,reused_steps,hit,verify_passed,repair_triggered,confidence,ECE_bin
task_0004,family_00,template_00,1.0,8,B-LENGTH-PROPORTIONAL,1,0,0,1,4050,17,8120,0,0,1,0,0.5,2
task_0005,family_00,template_00,0.25,8,P-SPIDER-PARAM,1,0,1,0,4350,17,8270,0,0,1,0,0.5138863929419907,2
task_0005,family_00,template_00,0.25,8,B-COLD,1,0,0,1,4050,17,8120,0,0,1,0,0.5,2
task_0005,family_00,template_00,0.25,8,B-INSTRUCTION,1,0,0,1,4070,17,8120,0,0,1,0,0.5,2
task_0005,family_00,template_00,0.25,8,B-RAG-EMBED,1,0,0,1,4250,17,8270,0,0,1,0,0.5,2
task_0005,family_00,template_00,0.25,8,B-STAGEHAND-CACHE,1,0,0,1,4050,17,8120,0,0,1,0,0.5,2
task_0005,family_00,template_00,0.25,8,B-TERX-REPLAY,1,0,0,1,4050,17,8120,0,0,1,0,0.5,2
task_0005,family_00,template_00,0.25,8,NC1-SHUFFLED,1,0,1,0,4350,17,8270,0,0,1,0,0.5138863929419907,2
task_0005,family_00,template_00,0.25,8,NC2-RANDOM,1,0,0,1,4250,17,8270,0,1,1,1,0.8,4
task_0005,family_00,template_00,0.25,8,B-LENGTH-PROPORTIONAL,1,0,0,1,4050,17,8120,0,0,1,0,0.5,2
task_0006,family_01,template_01,0.0,9,P-SPIDER-PARAM,1,0,0,1,800,10,1350,9,1,1,0,0.9794401169493708,4
task_0006,family_01,template_01,0.0,9,B-COLD,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0006,family_01,template_01,0.0,9,B-INSTRUCTION,1,0,0,1,4570,19,9120,0,0,1,0,0.5,2
task_0006,family_01,template_01,0.0,9,B-RAG-EMBED,1,0,0,1,700,10,1350,9,1,1,0,0.5,2
task_0006,family_01,template_01,0.0,9,B-STAGEHAND-CACHE,1,0,0,1,500,10,1200,9,1,1,0,0.5,2
task_0006,family_01,template_01,0.0,9,B-TERX-REPLAY,1,0,0,1,50,10,1200,9,1,1,0,0.5,2
task_0006,family_01,template_01,0.0,9,NC1-SHUFFLED,1,0,1,0,4850,19,9270,0,0,1,0,0.0,0
task_0006,family_01,template_01,0.0,9,NC2-RANDOM,1,0,0,1,4750,19,9270,0,1,1,1,0.8,4
task_0006,family_01,template_01,0.0,9,B-LENGTH-PROPORTIONAL,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0007,family_01,template_01,0.5,9,P-SPIDER-PARAM,1,0,1,0,4850,19,9270,0,0,1,0,0.524244181247493,2
task_0007,family_01,template_01,0.5,9,B-COLD,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0007,family_01,template_01,0.5,9,B-INSTRUCTION,1,0,0,1,4570,19,9120,0,0,1,0,0.5,2
task_0007,family_01,template_01,0.5,9,B-RAG-EMBED,1,0,0,1,4750,19,9270,0,0,1,0,0.5,2
task_0007,family_01,template_01,0.5,9,B-STAGEHAND-CACHE,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0007,family_01,template_01,0.5,9,B-TERX-REPLAY,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0007,family_01,template_01,0.5,9,NC1-SHUFFLED,1,0,1,0,4850,19,9270,0,0,1,0,0.018623102885388407,0
task_0007,family_01,template_01,0.5,9,NC2-RANDOM,1,0,0,1,4750,19,9270,0,1,1,1,0.8,4
task_0007,family_01,template_01,0.5,9,B-LENGTH-PROPORTIONAL,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0008,family_01,template_01,0.75,9,P-SPIDER-PARAM,1,0,1,0,4850,19,9270,0,0,1,0,0.042233059574853675,0
task_0008,family_01,template_01,0.75,9,B-COLD,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0008,family_01,template_01,0.75,9,B-INSTRUCTION,1,0,0,1,4570,19,9120,0,0,1,0,0.5,2
task_0008,family_01,template_01,0.75,9,B-RAG-EMBED,1,0,0,1,4750,19,9270,0,0,1,0,0.5,2
task_0008,family_01,template_01,0.75,9,B-STAGEHAND-CACHE,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0008,family_01,template_01,0.75,9,B-TERX-REPLAY,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0008,family_01,template_01,0.75,9,NC1-SHUFFLED,1,0,1,0,4850,19,9270,0,0,1,0,0.0,0
